"element","area","item","2010","2010*","2010**",
"Production","Antigua and Barbuda","Sheep meat","69.60","tonnes","Fc"
"Production","Antigua and Barbuda","Sheepskins","17.40","tonnes","Fc"
"Production","Antigua and Barbuda","Beef and Buffalo Meat","560.00","tonnes","A "
"Production","Antigua and Barbuda","Beef&Buffalo Meat Indig","560.10","tonnes","A "
"Production","Antigua and Barbuda","Eggs Primary","370.00","tonnes","A "
"Production","Antigua and Barbuda","Meat Indigenous, Total","1,180.70","tonnes","A "
"Production","Antigua and Barbuda","Meat, Total","1,180.60","tonnes","A "
"Production","Antigua and Barbuda","Milk,Total","5,700.00","tonnes","A "
"Production","Antigua and Barbuda","Mutton&Goat Meat Indig","194.60","tonnes","A "
"Production","Antigua and Barbuda","Poultry Indigenous,Total","216.00","tonnes","A "
"Production","Antigua and Barbuda","Poultry Meat","216.00","tonnes","A "
"Production","Antigua and Barbuda","Sheep and Goat Meat","194.60","tonnes","A "
"Production","Argentina","Beeswax","4,700.00","tonnes","F "
"Production","Argentina","Cattle Hides","355,889.00","tonnes","Fc"
"Production","Argentina","Cattle meat","2,630,160.00","tonnes","  "
"Production","Argentina","Chicken meat","1,598,000.00","tonnes","  "
"Production","Argentina","Cow milk, whole, fresh","10,501,900.00","tonnes","  "
"Production","Argentina","Duck meat","9,019.40","tonnes","Fc"
"Production","Argentina","Game meat","50,000.00","tonnes","F "
"Production","Argentina","Goat meat","9,900.00","tonnes","Fc"
"Production","Argentina","Goatskins","3,750.00","tonnes","Fc"
"Production","Argentina","Goose and guinea fowl meat","540.00","tonnes","Fc"
"Production","Argentina","Hen eggs, in shell","505,000.00","tonnes","F "
"Production","Argentina","Hen eggs, in shell (Number)","9,017,000.00","1000 No","F "
"Production","Argentina","Honey, natural","59,000.00","tonnes","  "
"Production","Argentina","Horse meat","29,850.90","tonnes","  "
"Production","Argentina","Indigenous Cattle Meat","2,626,460.00","tonnes","* "
"Production","Argentina","Indigenous Chicken Meat","1,597,360.00","tonnes","F "
"Production","Argentina","Indigenous Duck Meat","9,019.40","tonnes","Fc"
"Production","Argentina","Indigenous Geese Meat","540.00","tonnes","Fc"
"Production","Argentina","Indigenous Goat Meat","9,899.85","tonnes","Fc"
"Production","Argentina","Indigenous Horse Meat","30,448.60","tonnes","Fc"
"Production","Argentina","Indigenous Pigmeat","281,000.00","tonnes","F "
"Production","Argentina","Indigenous Rabbit Meat","7,260.00","tonnes","Fc"
"Production","Argentina","Indigenous Sheep Meat","44,955.00","tonnes","F "
"Production","Argentina","Indigenous Turkey Meat","35,700.00","tonnes","Fc"
"Production","Argentina","Pig meat","281,248.00","tonnes","  "
"Production","Argentina","Rabbit meat","7,260.00","tonnes","Fc"
"Production","Argentina","Sheep meat","45,500.00","tonnes","F "
"Production","Argentina","Sheepskins","21,060.00","tonnes","Fc"
"Production","Argentina","Skins With Wool Sheep","2,600.00","tonnes","F "
"Production","Argentina","Turkey meat","35,700.00","tonnes","Fc"
"Production","Argentina","Wool, greasy","54,000.00","tonnes","  "
"Production","Argentina","Beef and Buffalo Meat","2,630,160.00","tonnes","A "
"Production","Argentina","Beef&Buffalo Meat Indig","2,626,460.00","tonnes","A "
"Production","Argentina","Eggs Primary","505,000.00","tonnes","A "
"Production","Argentina","Meat Indigenous, Total","4,692,642.85","tonnes","A "
"Production","Argentina","Meat, Total","4,697,178.30","tonnes","A "
"Production","Argentina","Milk,Total","10,501,900.00","tonnes","A "
"Production","Argentina","Mutton&Goat Meat Indig","54,854.85","tonnes","A "
"Production","Argentina","Poultry Indigenous,Total","1,642,619.40","tonnes","A "
"Production","Argentina","Poultry Meat","1,643,259.40","tonnes","A "
"Production","Argentina","Sheep and Goat Meat","55,400.00","tonnes","A "
"Production","Armenia","Cattle Hides","8,455.00","tonnes","Fc"
"Production","Armenia","Cattle meat","49,000.00","tonnes","  "
"Production","Armenia","Chicken meat","5,400.00","tonnes","  "
"Production","Armenia","Cow milk, whole, fresh","557,293.00","tonnes","  "
"Production","Armenia","Goat milk, whole, fresh","2,900.00","tonnes","  "
"Production","Armenia","Hen eggs, in shell","39,000.00","tonnes","* "
"Production","Armenia","Hen eggs, in shell (Number)","696,600.00","1000 No","* "
"Production","Armenia","Honey, natural","1,900.00","tonnes","  "
"Production","Armenia","Indigenous Cattle Meat","48,945.60","tonnes","Fc"
"Production","Armenia","Indigenous Chicken Meat","4,930.80","tonnes","Fc"
"Production","Armenia","Indigenous Pigmeat","8,908.14","tonnes","Fc"
"Production","Armenia","Indigenous Sheep Meat","7,306.93","tonnes","Fc"
"Production","Armenia","Other bird eggs,in shell","364.00","tonnes","* "
"Production","Armenia","Other bird eggs,in shell (Number)","5,600.00","1000 No","* "
"Production","Armenia","Pig meat","8,900.00","tonnes","  "
"Production","Armenia","Sheep meat","7,200.00","tonnes","  "
"Production","Armenia","Sheep milk, whole, fresh","40,707.00","tonnes","  "
"Production","Armenia","Sheepskins","888.00","tonnes","Fc"
"Production","Armenia","Skins With Wool Sheep","710.40","tonnes","Fc"
"Production","Armenia","Wool, greasy","1,188.00","tonnes","  "
"Production","Armenia","Beef and Buffalo Meat","49,000.00","tonnes","A "
"Production","Armenia","Beef&Buffalo Meat Indig","48,945.60","tonnes","A "
"Production","Armenia","Eggs Primary","39,364.00","tonnes","A "
"Production","Armenia","Meat Indigenous, Total","70,091.47","tonnes","A "
"Production","Armenia","Meat, Total","70,500.00","tonnes","A "
"Production","Armenia","Milk,Total","600,900.00","tonnes","A "
"Production","Armenia","Mutton&Goat Meat Indig","7,306.93","tonnes","A "
"Production","Armenia","Poultry Indigenous,Total","4,930.80","tonnes","A "
"Production","Armenia","Poultry Meat","5,400.00","tonnes","A "
"Production","Armenia","Sheep and Goat Meat","7,200.00","tonnes","A "
"Production","Australia","Beeswax","327.00","tonnes","F "
"Production","Australia","Cattle Hides","230,150.00","tonnes","F "
"Production","Australia","Cattle meat","2,108,290.00","tonnes","  "
"Production","Australia","Chicken meat","881,029.00","tonnes","  "
"Production","Australia","Cow milk, whole, fresh","9,023,000.00","tonnes","  "
"Production","Australia","Duck meat","19,600.00","tonnes","Im"
"Production","Australia","Goat meat","25,000.00","tonnes","Fc"
"Production","Australia","Goatskins","7,500.00","tonnes","Fc"
"Production","Australia","Hen eggs, in shell","174,000.00","tonnes","  "
"Production","Australia","Hen eggs, in shell (Number)","3,051,350.00","1000 No","  "
"Production","Australia","Honey, natural","16,200.00","tonnes","Im"
"Production","Australia","Horse meat","25,760.00","tonnes","Fc"
"Production","Australia","Indigenous Cattle Meat","2,330,330.00","tonnes","Fc"
"Production","Australia","Indigenous Chicken Meat","882,281.00","tonnes","Fc"
"Production","Australia","Indigenous Duck Meat","19,600.00","tonnes","F "
"Production","Australia","Indigenous Goat Meat","27,025.30","tonnes","Fc"
"Production","Australia","Indigenous Horse Meat","26,057.90","tonnes","Fc"
"Production","Australia","Indigenous Pigmeat","336,044.00","tonnes","Fc"
"Production","Australia","Indigenous Sheep Meat","621,425.00","tonnes","Fc"
"Production","Australia","Indigenous Turkey Meat","22,400.00","tonnes","F "
"Production","Australia","Pig meat","335,801.00","tonnes","  "
"Production","Australia","Sheep meat","555,616.00","tonnes","  "
"Production","Australia","Sheepskins","115,466.00","tonnes","Fc"
